6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000186806	3	5	7	16	4	4	5	18	3	6
ENSG00000186810	1585	351	631	875	750	1108	551	886	948	606
ENSG00000186812	51	51	191	58	124	132	103	95	41	146
ENSG00000186814	49	112	56	26	154	60	44	54	64	160
ENSG00000186815	153	427	252	176	727	383	811	733	233	807
ENSG00000186818	195	78	492	490	553	426	97	447	562	994
ENSG00000186827	320	496	278	331	1135	604	1476	998	302	709
ENSG00000186831	0	2	0	0	0	4	8	0	0	8
ENSG00000186834	2250	995	2360	2097	1657	2434	1328	1666	2505	2400
ENSG00000186842	3	0	0	0	3	2	2	1	14	2
ENSG00000186854	378	401	386	812	715	766	1143	461	653	717
ENSG00000186862	2	5	10	0	3	8	22	5	0	0
ENSG00000186866	540	215	463	615	652	523	395	639	481	432
ENSG00000186868	10	13	1	14	3	30	18	27	52	39
ENSG00000186871	15	6	38	0	1	1	6	24	22	14
ENSG00000186889	2	1	1	1	0	1	1	0	3	2
ENSG00000186891	226	294	197	139	526	245	645	703	131	355
ENSG00000186907	15	1	9	2	3	9	1	5	13	0
ENSG00000186908	509	389	321	426	408	558	311	348	361	537
ENSG00000186912	0	0	0	0	3	3	6	2	0	0
ENSG00000186918	331	189	344	224	587	505	356	348	359	448
ENSG00000186919	1	17	2	12	8	9	4	7	0	22
ENSG00000186951	509	434	355	390	572	531	388	463	325	460
ENSG00000186973	0	8	2	0	0	0	0	2	3	0
ENSG00000186976	19	2	0	0	0	7	9	1	76	23
ENSG00000186994	6	6	13	4	32	13	22	4	44	9
ENSG00000186998	0	1	0	0	0	0	16	2	6	4
ENSG00000187010	3	11	4	2	2	9	14	12	11	6
ENSG00000187017	14	46	3	92	17	16	52	63	0	35
ENSG00000187021	0	0	1	0	0	1	0	1	4	1
ENSG00000187024	13	18	25	10	26	17	32	35	9	8
ENSG00000187037	15	13	56	19	8	27	5	9	99	45
ENSG00000187045	34	5	8	5	29	8	54	69	11	9
ENSG00000187048	3	0	0	0	0	0	4	0	8	1
ENSG00000187049	88	59	83	83	146	109	150	146	111	147
ENSG00000187051	142	112	164	133	264	249	171	250	162	226
ENSG00000187068	2	7	2	1	4	7	0	2	4	3
ENSG00000187079	29	14	58	14	10	4	15	32	0	4
ENSG00000187091	297	113	132	183	246	187	219	369	330	192
ENSG00000187097	54	159	124	52	143	117	137	167	66	68
ENSG00000187098	49	44	57	106	34	34	31	23	40	27
ENSG00000187105	0	0	22	0	0	4	0	0	2	7
ENSG00000187109	7920	7115	7354	7317	8089	8466	6239	6850	6891	9849
ENSG00000187116	114	38	485	904	328	382	35	151	342	296
ENSG00000187118	67	149	91	124	185	129	169	198	97	230
ENSG00000187122	0	0	29	10	12	2	6	12	32	10
ENSG00000187134	6	40	0	75	7	51	6	318	6	36
ENSG00000187147	591	314	397	494	515	674	449	484	432	518
ENSG00000187164	134	55	114	406	105	281	81	71	171	107
ENSG00000187172	10	8	10	0	6	2	4	1	6	0
ENSG00000187186	0	8	1	0	6	8	14	10	4	13
ENSG00000187187	62	71	17	27	74	94	57	29	8	46
ENSG00000187189	797	891	309	359	1003	583	852	964	581	934
ENSG00000187193	419	189	144	159	277	1205	842	449	1080	252
ENSG00000187210	83	377	116	135	702	431	533	556	179	378
ENSG00000187231	129	116	58	154	255	98	50	157	37	53
ENSG00000187239	11626	8368	7289	6729	7222	7846	6308	6422	5938	6086
ENSG00000187240	25	28	103	120	17	153	33	11	19	139
ENSG00000187243	0	0	11	50	34	10	34	34	14	28
ENSG00000187244	5	14	2	0	6	9	26	20	10	3
ENSG00000187257	476	512	662	402	613	822	440	683	505	645
ENSG00000187260	42	22	23	12	30	25	30	24	21	17
ENSG00000187266	97	106	78	53	160	107	265	272	117	202
ENSG00000187325	217	471	458	447	545	725	379	818	321	553
ENSG00000187372	0	5	3	7	9	0	3	4	16	5
ENSG00000187391	13	8	19	0	8	9	8	22	9	14
ENSG00000187398	3	0	3	1	5	2	0	2	0	5
ENSG00000187446	1456	827	781	1606	1107	1519	905	1120	1171	856
ENSG00000187474	121	47	100	206	78	236	58	53	203	59
ENSG00000187479	3	0	13	25	42	20	32	31	12	23
ENSG00000187486	1	2	1	1	7	5	5	1	12	4
ENSG00000187492	7	3	8	0	0	0	7	2	3	1
ENSG00000187510	0	1	1	0	2	2	0	0	0	5
ENSG00000187514	25365	14034	19198	26622	21081	24589	14633	14995	18831	17518
ENSG00000187522	174	129	95	91	99	85	66	60	113	105
ENSG00000187531	397	195	312	533	341	400	236	297	273	256
ENSG00000187535	72	49	15	33	57	16	36	37	23	48
ENSG00000187554	7	39	7	27	92	29	51	32	68	60
ENSG00000187555	2733	2696	2946	3784	3062	3531	1851	2418	2839	2851
ENSG00000187556	3	4	3	2	0	2	0	5	3	3
ENSG00000187566	0	5	0	11	1	9	11	0	4	0
ENSG00000187583	17	11	14	1	41	62	65	46	10	3
ENSG00000187595	3	3	6	5	5	12	3	5	4	26
ENSG00000187601	87	503	86	74	1296	106	460	1586	71	1131
ENSG00000187605	492	575	457	356	614	645	552	639	536	494
ENSG00000187607	179	117	178	204	116	218	107	161	256	180
ENSG00000187608	265	291	271	356	982	451	692	479	432	675
ENSG00000187609	9	18	14	71	44	26	41	49	44	32
ENSG00000187621	52	47	51	20	51	31	35	50	57	38
ENSG00000187624	17	13	2	3	19	1	1	5	23	3
ENSG00000187626	12	16	6	39	16	19	9	20	13	10
ENSG00000187627	740	1035	274	320	858	239	339	495	1721	2077
ENSG00000187630	65	42	72	81	68	79	72	100	111	152
ENSG00000187634	0	1	0	0	0	0	9	5	5	0
ENSG00000187650	50	61	67	40	158	117	154	129	99	144
ENSG00000187653	12	2	13	5	6	7	1	0	3	4
ENSG00000187672	0	1	0	0	3	0	2	13	0	0
ENSG00000187676	297	228	258	135	187	416	97	169	139	128
ENSG00000187678	13	8	5	9	17	17	57	58	7	4
ENSG00000187686	4	4	2	11	3	0	2	0	2	2
ENSG00000187688	556	281	624	729	731	747	612	705	681	544
ENSG00000187699	12	3	5	81	13	28	0	7	69	22
ENSG00000187713	326	133	201	172	249	331	197	257	314	234
ENSG00000187715	3	0	0	0	3	5	4	3	2	2
ENSG00000187720	26	3	5	0	6	3	10	3	8	1
ENSG00000187726	0	2	0	0	0	0	1	1	6	2
ENSG00000187730	1	3	2	0	0	2	4	3	0	0
ENSG00000187735	1320	645	438	619	1156	1557	1290	1584	976	981
ENSG00000187736	401	223	176	294	296	395	218	201	251	284
ENSG00000187741	80	113	185	72	126	111	128	250	112	159
ENSG00000187742	372	451	423	566	748	639	399	582	568	632
ENSG00000187753	0	2	0	0	16	0	2	2	4	0
ENSG00000187764	6271	4522	5272	4777	4834	4271	5741	9283	4529	4482
ENSG00000187775	103	6	1	8	18	24	3	3	12	11
ENSG00000187778	387	238	230	295	470	592	550	476	546	493
ENSG00000187790	54	84	37	35	23	75	181	111	45	74
ENSG00000187792	13	27	25	61	44	23	27	37	41	44
ENSG00000187796	25	16	23	18	7	7	21	12	23	17
ENSG00000187801	25	16	17	45	5	23	6	7	18	26
ENSG00000187808	0	3	1	0	1	1	5	3	0	10
ENSG00000187815	17	22	14	15	16	23	10	11	16	32
ENSG00000187824	16	21	4	71	15	33	7	27	1	14
ENSG00000187837	655	362	128	323	716	449	688	419	190	373
ENSG00000187838	486	143	246	310	559	467	492	436	399	367
ENSG00000187840	120	57	88	101	131	143	95	175	167	116
ENSG00000187847	20	14	14	9	12	21	10	22	34	7
ENSG00000187848	10	2	2	114	87	27	6	1	18	23
ENSG00000187857	0	0	1	0	11	0	4	0	1	2
ENSG00000187860	89	10	42	85	92	105	56	26	104	74
ENSG00000187862	8	16	19	92	31	15	24	29	14	43
ENSG00000187866	155	135	233	197	254	278	164	236	184	174
ENSG00000187871	12	7	3	0	1	9	7	5	20	2
ENSG00000187904	0	0	0	0	6	1	4	3	0	12
ENSG00000187905	0	9	17	0	0	6	2	3	12	9
ENSG00000187908	0	10	0	1	0	0	2	3	1	0
ENSG00000187912	1	0	5	0	2	6	1	5	13	2
ENSG00000187922	2	34	0	0	136	2	51	128	0	65
ENSG00000187942	0	0	3	29	1	2	1	7	0	12
ENSG00000187944	13	8	10	12	0	2	2	7	1	11
ENSG00000187950	6	0	0	26	6	3	0	0	2	0
ENSG00000187951	31	59	47	43	87	64	230	201	35	83
ENSG00000187953	356	110	98	153	212	170	121	201	142	247
ENSG00000187954	219	124	181	159	200	142	220	295	280	229
ENSG00000187957	4	3	2	5	0	2	2	0	0	0
ENSG00000187961	125	53	25	65	109	66	98	103	51	63
ENSG00000187980	1	17	2	0	4	2	3	9	67	2
ENSG00000187987	0	2	0	0	1	0	0	10	2	13
ENSG00000187994	99	145	200	59	338	155	282	316	62	161
ENSG00000188000	11	15	15	0	14	3	8	15	8	11
ENSG00000188001	280	166	288	301	154	353	140	195	217	169
ENSG00000188002	125	65	103	84	180	156	226	250	102	167
ENSG00000188004	0	6	5	2	0	5	0	4	0	0
ENSG00000188010	24	5	8	15	11	12	14	11	9	4
ENSG00000188011	29	6	34	51	25	52	14	34	67	23
ENSG00000188021	1237	999	782	1059	1500	1206	1180	1540	764	1246
ENSG00000188026	68	88	26	105	64	55	69	97	60	80
ENSG00000188033	44	114	70	94	131	134	116	131	58	149
ENSG00000188038	0	0	0	6	7	0	6	1	0	0
ENSG00000188039	1	4	4	0	1	0	4	0	9	0
ENSG00000188042	7524	4703	6877	8713	5985	9636	4929	4054	8278	7669
ENSG00000188060	0	6	8	13	14	6	3	4	20	3
ENSG00000188064	1	0	0	0	3	2	12	2	0	0
ENSG00000188070	6	5	32	20	24	23	13	44	37	25
ENSG00000188092	92	229	164	66	353	189	208	160	195	204
ENSG00000188107	37	21	10	0	7	3	21	18	23	13
ENSG00000188112	2	19	3	15	0	11	3	8	0	8
ENSG00000188130	9	28	11	3	48	8	20	67	19	8
ENSG00000188153	4	19	0	0	0	0	9	17	0	11
ENSG00000188157	23	61	29	24	66	51	94	69	50	106
ENSG00000188158	4	49	4	0	334	13	43	338	1	35
ENSG00000188167	87	116	84	129	206	138	155	142	74	109
ENSG00000188171	74	66	65	40	18	73	109	62	42	86
ENSG00000188177	104	268	218	131	487	422	328	354	460	457
ENSG00000188185	109	79	97	64	121	113	342	231	153	196
ENSG00000188186	178	248	238	236	323	269	478	414	267	373
ENSG00000188191	62	53	38	89	94	29	56	60	71	71
ENSG00000188199	28	9	9	24	22	8	2	0	0	9
ENSG00000188211	122	96	74	80	95	115	48	95	123	68
ENSG00000188215	228	208	240	239	236	272	179	280	267	246
ENSG00000188223	76	29	33	91	97	71	50	45	28	80
ENSG00000188227	32	26	16	22	80	21	39	66	19	95
ENSG00000188229	2676	876	1635	1837	1634	1848	1461	2042	2527	1958
ENSG00000188234	87	96	40	58	190	145	148	110	160	240
ENSG00000188242	243	56	63	69	96	139	153	132	71	110
ENSG00000188243	829	910	909	1099	1286	1152	1075	1243	870	1272
ENSG00000188263	0	0	0	0	6	0	6	1	0	2
ENSG00000188266	5	34	11	30	18	74	23	24	34	41
ENSG00000188277	3	6	18	10	6	12	19	23	8	7
ENSG00000188282	4	4	7	2	42	6	2	19	9	16
ENSG00000188283	147	144	251	93	193	189	146	222	234	125
ENSG00000188290	65	96	40	123	217	77	108	149	107	169
ENSG00000188295	186	78	61	36	87	112	103	106	90	102
ENSG00000188305	3	1	7	0	0	3	1	3	3	4
ENSG00000188312	66	51	52	77	152	136	44	71	121	117
ENSG00000188313	241	252	892	643	582	652	165	594	335	652
ENSG00000188315	132	154	122	204	149	247	164	129	151	173
ENSG00000188321	14	129	34	80	83	41	59	75	117	42
ENSG00000188322	110	32	130	100	69	146	73	52	223	107
ENSG00000188338	70	2	3	39	4	32	3	3	11	5
ENSG00000188342	107	135	97	86	100	116	74	102	64	77
ENSG00000188343	24	2	7	0	8	8	2	13	0	10
ENSG00000188352	381	419	241	312	308	333	286	242	403	500
ENSG00000188368	10	4	0	0	2	5	2	3	0	10
ENSG00000188372	11	2	64	20	14	0	2	75	16	27
ENSG00000188385	36	6	11	39	5	5	3	6	72	17
ENSG00000188389	276	171	139	528	660	802	494	543	344	464
ENSG00000188394	4	2	2	0	7	0	1	0	5	0
ENSG00000188404	1446	1665	1765	4880	5045	3623	3157	4021	2530	5806
ENSG00000188419	339	262	340	82	334	397	178	325	72	351
ENSG00000188428	85	146	75	129	302	118	69	109	201	87
ENSG00000188452	3	4	3	1	3	14	4	1	16	2
ENSG00000188460	1	0	0	0	4	1	3	1	0	3
ENSG00000188483	397	103	323	215	170	252	475	553	254	168
ENSG00000188486	512	202	415	284	416	459	360	562	558	594
ENSG00000188493	29	18	61	40	59	45	146	80	104	105
ENSG00000188501	5	6	1	0	5	0	1	4	6	4
ENSG00000188505	0	10	4	13	0	4	4	4	10	13
ENSG00000188511	27	17	29	32	26	36	51	23	17	24
ENSG00000188522	410	106	78	105	134	109	77	149	98	95
ENSG00000188525	0	0	10	0	3	1	0	4	6	2
ENSG00000188529	1585	1362	961	950	1377	983	1195	1335	971	1162
ENSG00000188536	47	10	0	0	0	16	8	4	24	0
ENSG00000188542	110	69	234	159	144	163	163	77	178	128
ENSG00000188549	14	22	5	6	17	15	28	19	11	13
ENSG00000188554	813	1123	744	1138	4105	1572	1591	2142	774	1434
ENSG00000188558	20	81	34	0	49	18	37	24	31	35
ENSG00000188559	532	586	345	471	782	616	474	724	491	531
ENSG00000188566	77	53	46	72	105	133	108	123	67	68
ENSG00000188596	56	84	60	110	100	100	29	50	55	67
ENSG00000188599	111	34	85	103	95	93	105	91	115	107
ENSG00000188603	407	231	620	397	536	773	536	575	754	495
ENSG00000188610	12	0	4	0	5	0	0	21	0	14
ENSG00000188611	3	32	41	0	3	61	2	109	51	73
ENSG00000188612	1354	1209	1370	1115	1770	1631	1169	1474	979	1460
ENSG00000188613	19	27	30	45	11	13	16	28	15	31
ENSG00000188626	0	0	11	0	0	0	4	2	3	8
ENSG00000188629	3	3	8	33	5	8	6	17	11	4
ENSG00000188636	681	265	213	443	316	457	285	147	278	204
ENSG00000188641	456	537	850	868	567	834	515	588	621	536
ENSG00000188643	0	5	7	0	3	7	9	21	19	32
ENSG00000188647	857	1188	1054	965	1191	1058	824	744	897	992
ENSG00000188649	0	6	7	4	4	8	15	10	12	4
ENSG00000188659	2	63	1	0	3	8	20	0	3	41
ENSG00000188674	0	0	0	0	0	2	3	1	1	0
ENSG00000188676	3	15	13	0	12	6	9	4	7	10
ENSG00000188677	645	398	218	910	565	685	335	498	591	531
ENSG00000188681	11	14	0	0	5	0	0	8	75	61
ENSG00000188687	66	42	52	44	74	67	57	68	101	67
ENSG00000188690	157	194	177	126	202	202	231	227	154	223
ENSG00000188706	152	131	233	211	248	150	164	253	175	191
ENSG00000188707	20	54	38	25	65	80	124	77	11	47
ENSG00000188725	283	227	176	205	383	304	208	368	131	246
ENSG00000188730	4	0	0	0	0	4	1	1	0	0
ENSG00000188732	77	53	104	24	104	76	115	120	40	147
ENSG00000188735	89	54	63	60	152	82	98	177	98	72
ENSG00000188738	70	173	96	84	130	47	48	48	87	103
ENSG00000188739	137	231	157	77	173	178	94	123	132	149
ENSG00000188747	6	6	13	17	12	22	13	18	23	6
ENSG00000188760	0	1	5	0	60	3	2	5	0	14
ENSG00000188761	59	84	31	16	27	17	58	5	227	4
ENSG00000188765	9	6	8	1	7	12	4	6	5	5
ENSG00000188766	12	5	16	13	28	11	17	49	17	68
ENSG00000188778	2	0	0	0	3	1	2	0	0	0
ENSG00000188779	1	2	6	5	1	9	3	3	5	9
ENSG00000188783	4	2	2	0	3	11	10	5	0	7
ENSG00000188785	197	267	123	502	295	328	214	362	217	338
ENSG00000188786	654	487	322	257	583	472	295	571	371	483
ENSG00000188800	0	0	0	0	3	0	0	1	12	2
ENSG00000188807	121	65	87	117	126	126	249	261	123	203
ENSG00000188811	58	68	177	100	52	116	72	92	78	151
ENSG00000188817	34	21	1	0	0	11	0	5	20	0
ENSG00000188818	188	57	45	246	85	172	22	28	141	7
ENSG00000188820	0	0	1	0	11	19	6	4	9	42
ENSG00000188822	4	7	8	13	12	16	9	6	9	19
ENSG00000188825	28	38	44	27	45	30	42	40	51	28
ENSG00000188827	69	127	136	59	161	102	143	194	121	115
ENSG00000188846	16196	11860	13052	12416	13046	17953	11030	12553	12155	14932
ENSG00000188848	0	24	17	6	22	13	67	73	0	75
ENSG00000188850	1	1	2	1	1	0	1	0	1	1
ENSG00000188856	1	2	1	6	0	2	1	3	2	3
ENSG00000188859	7	23	1	13	59	6	57	27	8	51
ENSG00000188868	34	12	29	36	109	54	39	73	28	39
ENSG00000188869	10	3	2	0	3	0	7	2	9	16
ENSG00000188873	2	1	1	7	0	0	0	4	1	1
ENSG00000188878	22	41	91	54	66	60	77	79	45	98
ENSG00000188886	127	52	33	55	36	72	68	64	104	58
ENSG00000188895	1056	887	1437	1174	1377	1510	1325	1443	1091	1202
ENSG00000188897	56	44	12	2	8	34	28	29	33	5
ENSG00000188906	46	14	95	32	6	21	66	8	11	72
ENSG00000188916	66	23	1	167	60	153	9	5	96	101
ENSG00000188917	207	258	240	366	398	447	503	501	295	459
ENSG00000188921	483	388	567	286	437	578	492	460	333	678
ENSG00000188931	1	4	4	2	1	1	0	0	22	0
ENSG00000188933	207	175	147	296	492	29	16	586	232	195
ENSG00000188938	424	432	324	319	466	451	417	447	438	409
ENSG00000188958	5	7	11	10	6	6	7	10	6	10
ENSG00000188959	0	2	1	15	5	1	2	0	2	3
ENSG00000188976	207	140	141	226	283	184	156	257	186	245
ENSG00000188981	22	5	3	8	8	7	6	7	7	7
ENSG00000188986	181	97	169	205	277	265	280	310	172	268
ENSG00000188994	1204	1752	1136	1527	1730	1179	1326	1129	1104	1544
ENSG00000188996	10	12	6	0	15	5	15	6	12	12
ENSG00000188997	94	95	93	214	164	210	260	154	160	121
ENSG00000189007	279	464	118	249	599	208	303	589	127	353
ENSG00000189013	0	2	17	0	37	2	3	3	9	7
ENSG00000189042	107	135	92	146	152	125	120	117	53	131
ENSG00000189043	1589	2047	2049	2102	2043	2368	1432	1636	1363	1857
ENSG00000189045	0	0	0	0	1	0	2	5	2	4
ENSG00000189046	56	26	34	28	31	43	44	52	45	29
ENSG00000189050	86	139	93	134	148	181	122	214	63	89
ENSG00000189051	1	1	0	4	0	6	6	1	0	0
ENSG00000189057	46	57	33	23	68	41	12	79	12	25
ENSG00000189058	4	1	2	0	5	2	1	12	0	2
ENSG00000189060	107	94	25	92	102	160	149	160	52	114
ENSG00000189067	4740	2575	4862	2990	3897	5914	4213	3822	4023	3110
ENSG00000189068	8	1	12	0	0	10	2	1	2	6
ENSG00000189077	133	89	112	93	137	154	243	209	148	157
ENSG00000189079	969	1288	757	1027	1130	745	726	873	663	691
ENSG00000189091	1078	1034	1377	1723	1730	1908	1522	2230	1207	1690
ENSG00000189114	238	80	192	278	256	246	141	270	237	178
ENSG00000189120	5	4	2	0	6	8	0	1	16	1
ENSG00000189136	25	18	45	16	17	55	32	25	31	6
ENSG00000189143	16	26	13	1	13	35	116	82	44	21
ENSG00000189144	21	18	11	23	77	21	43	20	13	27
ENSG00000189149	0	4	5	30	13	17	1	5	11	11
ENSG00000189152	4	15	6	0	3	26	11	33	9	2
ENSG00000189157	0	7	57	1	3	12	55	21	70	17
ENSG00000189159	1714	849	1422	1122	1665	1392	1242	1427	2004	1409
ENSG00000189164	126	120	129	144	125	112	119	118	115	151
ENSG00000189171	49	25	27	63	45	56	61	31	34	29
ENSG00000189180	378	337	495	604	564	908	424	377	531	314
ENSG00000189184	0	6	1	0	2	0	0	5	0	0
ENSG00000189190	245	163	507	291	388	366	336	481	578	262
ENSG00000189195	9	17	14	7	15	13	31	33	23	16
ENSG00000189212	0	8	14	12	12	6	17	10	8	2
ENSG00000189221	2	16	7	0	7	20	14	12	6	1
ENSG00000189223	0	10	59	89	103	3	2	167	119	75
ENSG00000189227	106	126	95	133	81	82	88	85	61	123
ENSG00000189229	1	36	2	5	2	7	4	3	0	0
ENSG00000189233	80	43	291	104	71	139	98	76	68	84
ENSG00000189241	2690	2321	1506	1499	1815	2051	2030	2291	1325	1592
ENSG00000189266	2060	1208	1798	2284	2646	1732	1057	1827	1535	1901
ENSG00000189269	12	22	9	0	12	20	10	4	3	34
ENSG00000189283	389	221	119	571	408	476	429	271	504	707
ENSG00000189298	6	40	28	67	53	31	62	57	30	19
ENSG00000189306	507	245	235	134	366	608	489	378	197	319
ENSG00000189308	525	420	382	409	441	501	245	376	332	330
ENSG00000189319	931	740	824	916	1115	825	779	1128	942	894
ENSG00000189325	0	7	0	0	35	0	22	24	0	14
ENSG00000189332	13	14	37	44	14	46	19	21	34	13
ENSG00000189334	0	3	0	0	0	2	7	0	0	2
ENSG00000189337	6	2	12	12	14	8	4	7	4	2
ENSG00000189339	1260	965	833	407	841	1394	1463	1525	1057	1455
ENSG00000189343	7	8	7	14	3	5	0	11	1	9
ENSG00000189350	92	20	113	75	65	195	84	113	120	107
ENSG00000189362	72	240	51	101	196	209	123	372	55	257
ENSG00000189366	2	7	7	0	4	20	3	8	0	3
ENSG00000189367	125	102	77	73	55	162	139	42	65	65
ENSG00000189369	48	85	66	92	109	109	111	100	56	95
ENSG00000189376	195	109	92	98	105	126	144	110	102	108
ENSG00000189377	3	35	0	0	0	6	94	0	12	1
ENSG00000189403	3206	2631	2561	2837	3090	3952	2091	3016	1925	2841
ENSG00000189409	23	4	9	46	36	22	3	11	11	0
ENSG00000189410	0	2	1	0	4	2	0	0	0	0
ENSG00000189419	0	1	3	0	2	0	0	0	0	2
ENSG00000189420	21	15	37	12	15	33	10	8	23	14
ENSG00000189423	3	14	0	0	4	0	0	7	2	11
ENSG00000189430	2	4	10	0	7	2	10	16	7	15
ENSG00000196072	746	596	367	577	686	554	399	383	514	495
ENSG00000196074	9	15	51	48	27	50	31	6	23	24
ENSG00000196081	3	18	6	13	29	14	19	17	31	9
ENSG00000196083	201	359	279	144	192	243	235	178	262	126
ENSG00000196092	0	5	1	6	8	1	0	1	1	101
ENSG00000196096	36	83	47	10	30	31	32	33	45	29
ENSG00000196110	164	75	127	192	198	175	165	182	175	103
ENSG00000196114	3	11	17	6	3	4	11	2	8	7
ENSG00000196116	170	255	255	188	237	229	155	176	264	130
ENSG00000196118	22	11	19	51	24	1	17	6	6	17
ENSG00000196119	0	12	4	3	2	0	2	2	17	5
ENSG00000196123	50	51	51	125	91	87	38	78	92	97
ENSG00000196126	2038	793	2371	4016	2603	3001	986	1425	4085	4241
ENSG00000196131	12	2	0	0	3	6	0	7	19	0
ENSG00000196136	2	1	0	6	0	0	0	0	2	2
ENSG00000196139	29	45	18	40	51	56	27	54	68	32
ENSG00000196141	652	706	319	216	874	471	373	984	275	629
ENSG00000196150	258	198	219	292	152	355	196	150	225	139
ENSG00000196151	62	24	51	34	26	48	41	63	45	58
ENSG00000196152	99	69	80	117	172	90	58	115	69	90
ENSG00000196154	7544	3902	7895	4573	4567	8363	5462	5397	6380	4216
ENSG00000196155	13	15	15	102	70	103	72	84	128	46
ENSG00000196167	122	201	139	74	111	78	125	117	150	116
ENSG00000196169	42	34	16	37	1	23	7	10	13	7
ENSG00000196172	3	54	4	99	133	127	227	76	32	106
ENSG00000196177	250	497	456	481	389	647	414	402	379	429
ENSG00000196182	1057	384	893	1022	866	1226	695	770	1137	827
ENSG00000196183	2	2	3	0	0	2	2	2	0	0
ENSG00000196187	632	670	587	1099	1120	877	1876	1502	870	1072
ENSG00000196188	1	50	0	0	0	10	27	4	0	0
ENSG00000196189	542	197	258	390	317	271	360	322	737	302
ENSG00000196199	559	369	653	668	966	775	735	946	637	806
ENSG00000196204	251	230	227	236	276	322	147	216	239	301
ENSG00000196205	23	29	7	26	15	33	26	0	29	37
ENSG00000196208	0	8	2	10	16	16	16	5	7	18
ENSG00000196209	37	8	60	72	7	10	8	6	34	10
ENSG00000196214	170	115	51	85	129	86	45	191	74	139
ENSG00000196218	26	109	93	225	62	73	316	165	253	223
ENSG00000196220	20	193	38	223	652	144	277	530	36	191
ENSG00000196227	138	192	133	111	301	183	224	350	158	238
ENSG00000196230	2026	1182	1944	2327	2709	2570	2932	3552	1904	2561
ENSG00000196233	1941	689	1527	1927	2096	1892	499	1086	1018	1513
ENSG00000196235	2132	933	1217	1885	2236	2385	1858	2211	1974	1753
ENSG00000196236	185	208	102	187	219	222	246	251	127	268
ENSG00000196242	7	14	7	13	41	7	19	4	0	9
ENSG00000196247	466	313	352	162	399	433	315	393	256	208
ENSG00000196260	0	5	2	5	1	1	27	3	5	0
ENSG00000196262	4416	2362	4202	4010	3364	4701	2831	3154	4303	3935
ENSG00000196263	48	40	27	130	50	26	14	13	13	22
ENSG00000196267	73	47	54	25	74	24	39	42	19	125
ENSG00000196268	104	117	127	118	126	203	141	148	116	106
ENSG00000196274	2	1	0	0	0	0	0	1	0	7
ENSG00000196275	74	64	189	135	60	99	92	51	82	94
ENSG00000196284	52	105	101	88	103	142	98	151	90	137
ENSG00000196290	49	39	83	32	59	98	90	118	57	94
ENSG00000196295	452	505	511	487	549	370	470	585	480	443
ENSG00000196296	40	12	1	0	1	1	5	11	7	2
ENSG00000196302	0	28	28	17	11	17	46	43	25	0
ENSG00000196305	1108	1142	923	779	1559	1535	1495	1157	996	1781
ENSG00000196312	506	384	258	658	755	268	297	664	932	465
ENSG00000196313	2457	1227	1864	2118	2717	2566	1828	2656	2531	2497
ENSG00000196323	1977	1761	2030	1193	1391	2028	1058	1771	1439	1481
ENSG00000196329	425	209	388	399	343	595	429	504	628	523
ENSG00000196335	5	9	46	0	3	1	1	15	4	25
ENSG00000196338	22	13	22	1	27	23	27	18	21	21
ENSG00000196341	3	7	4	0	4	6	4	1	2	7
ENSG00000196344	67	116	38	13	81	49	74	69	73	53
ENSG00000196345	51	7	1	11	17	26	20	17	3	15
ENSG00000196352	1412	1000	2329	3288	1924	3330	1271	1132	2355	1565
ENSG00000196353	0	2	0	0	0	0	4	22	0	2
ENSG00000196357	45	18	18	19	10	37	15	46	45	32
ENSG00000196358	88	159	52	29	293	108	331	499	73	130
ENSG00000196363	438	116	214	138	282	196	343	351	204	170
ENSG00000196365	233	78	126	307	387	317	193	359	397	251
ENSG00000196366	0	3	0	0	3	0	1	1	0	0
ENSG00000196367	1576	1399	1448	1313	2192	2289	2166	2159	1794	2131
ENSG00000196368	8	11	9	17	17	31	3	11	16	22
ENSG00000196369	239	439	136	436	355	365	268	298	195	334
ENSG00000196371	101	78	154	127	81	132	79	72	109	112
ENSG00000196372	15	2	8	10	36	27	13	8	72	9
ENSG00000196376	2	0	1	4	0	2	3	3	5	4
ENSG00000196378	48	33	35	23	39	46	48	50	38	28
ENSG00000196381	68	71	4	4	11	15	19	27	25	11
ENSG00000196387	75	223	209	162	312	118	194	308	65	263
ENSG00000196388	1	1	1	0	2	0	4	4	4	1
ENSG00000196391	33	24	9	790	948	12	29	25	14	22
ENSG00000196396	2796	2020	2809	2922	4342	2892	1879	3609	1967	2412
ENSG00000196405	2620	3405	3242	2112	4632	3847	6083	6340	3181	4593
ENSG00000196408	0	0	0	10	3	0	1	3	8	14
ENSG00000196411	6	5	12	13	14	55	41	38	66	65
ENSG00000196417	30	66	274	216	115	113	99	104	125	102
ENSG00000196418	145	56	72	50	74	46	69	38	59	47
ENSG00000196419	4042	2958	3785	4310	4177	4840	3166	3640	3845	4425
ENSG00000196420	0	0	4	0	0	0	1	8	3	4
ENSG00000196421	2	7	17	0	5	2	25	23	7	5
ENSG00000196422	3	19	10	17	49	12	29	24	28	39
ENSG00000196428	885	826	1152	1144	994	946	605	894	1081	724
ENSG00000196433	0	2	4	0	15	4	1	8	2	0
ENSG00000196436	6	25	40	8	1	45	53	50	37	11
