6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000008056	0	0	16	12	15	70	0	18	43	8
ENSG00000008083	1314	662	645	1029	1050	911	927	1102	777	857
ENSG00000008086	259	299	231	158	228	188	184	169	209	200
ENSG00000008118	33	2	1	5	2	0	1	6	1	2
ENSG00000008128	496	271	89	661	635	535	454	79	693	561
ENSG00000008130	724	495	533	479	807	757	480	758	838	804
ENSG00000008226	188	12	33	571	146	53	144	155	94	54
ENSG00000008256	389	981	583	952	1288	388	392	826	469	486
ENSG00000008277	9	23	43	60	19	19	11	3	64	23
ENSG00000008282	1053	708	766	977	909	1141	548	635	741	642
ENSG00000008283	154	151	248	150	138	222	223	245	137	108
ENSG00000008294	1052	1244	958	910	993	1061	435	937	1190	625
ENSG00000008300	76	39	45	64	71	155	74	50	102	45
ENSG00000008311	8	56	33	49	59	39	34	43	25	50
ENSG00000008323	0	0	1	13	3	3	3	1	11	6
ENSG00000008324	351	407	355	374	297	441	266	292	265	297
ENSG00000008382	19	42	58	56	62	84	88	82	68	63
ENSG00000008394	35	11	140	108	20	28	323	15	214	88
ENSG00000008405	1694	1098	691	835	899	890	513	723	594	462
ENSG00000008441	4	14	2	1	16	72	55	13	10	32
ENSG00000008513	2461	1654	2144	1615	1338	2990	1627	1544	1158	1174
ENSG00000008516	159	15	18	104	10	86	24	18	141	71
ENSG00000008517	5489	3402	4232	3738	9771	4881	5586	6893	3967	5791
ENSG00000008710	249	151	286	468	263	301	308	330	253	315
ENSG00000008735	5	1	0	0	2	0	2	1	0	0
ENSG00000008838	453	345	311	311	765	614	557	558	382	406
ENSG00000008853	56	29	12	10	76	32	40	21	10	34
ENSG00000008869	696	596	915	783	686	692	652	688	728	557
ENSG00000008952	801	744	1159	1405	1068	1221	765	803	1306	1282
ENSG00000008988	24591	32751	26616	32561	29127	33597	21586	21692	26024	33523
ENSG00000009307	6044	5751	5324	4985	8178	6834	4443	6104	4333	6412
ENSG00000009335	1199	921	799	1075	1244	963	1135	769	887	946
ENSG00000009413	1583	1901	1279	1481	1052	1302	898	1315	1191	1290
ENSG00000009694	1	19	77	22	181	15	32	14	183	45
ENSG00000009765	3	1	0	0	0	0	2	8	0	20
ENSG00000009780	107	157	51	193	176	117	62	70	83	82
ENSG00000009790	549	660	539	362	904	877	1414	1147	722	1026
ENSG00000009830	85	49	95	89	133	113	107	100	85	78
ENSG00000009844	343	232	386	329	353	412	266	348	268	281
ENSG00000009950	8	3	0	0	0	1	2	18	2	0
ENSG00000009954	1624	1174	1242	1610	1662	1688	1047	1489	1081	1321
ENSG00000010017	1716	2359	1712	1515	2039	1918	1418	1786	1474	1659
ENSG00000010030	76	87	144	79	383	137	189	379	62	282
ENSG00000010072	181	194	178	233	204	156	82	143	223	116
ENSG00000010165	69	118	55	75	117	93	65	134	119	64
ENSG00000010219	55	32	36	64	117	135	80	111	88	106
ENSG00000010244	4728	2995	3047	2768	4369	4075	3082	4103	3388	3489
ENSG00000010256	403	244	509	412	677	666	576	606	443	596
ENSG00000010270	298	280	401	288	223	309	155	166	223	206
ENSG00000010278	544	300	350	1134	445	706	228	494	825	410
ENSG00000010292	161	480	436	503	789	578	756	1376	603	493
ENSG00000010295	177	147	181	211	181	220	228	409	214	253
ENSG00000010310	32	22	18	12	38	22	33	81	48	46
ENSG00000010318	15	27	62	71	65	117	52	39	84	23
ENSG00000010319	2	6	5	7	20	3	22	6	65	28
ENSG00000010322	853	1029	811	766	1355	1199	1354	1636	1089	1320
ENSG00000010327	61	35	200	195	14	153	97	59	132	120
ENSG00000010361	31	33	37	114	62	95	40	82	39	62
ENSG00000010379	4	1	8	15	0	4	0	3	1	0
ENSG00000010404	29927	16991	12595	13171	19153	17864	16333	17692	16387	14702
ENSG00000010539	109	129	89	190	189	230	205	211	149	151
ENSG00000010610	10351	5435	7522	9982	13853	12487	10797	12481	9704	11580
ENSG00000010626	23	19	15	32	18	46	15	32	83	51
ENSG00000010671	129	23	136	345	79	161	24	131	167	127
ENSG00000010704	30	29	4	43	68	6	38	32	5	7
ENSG00000010803	387	260	431	447	463	496	455	374	436	445
ENSG00000010810	14554	7087	8887	10472	11037	11050	5587	11409	10343	9688
ENSG00000010818	7173	4901	7151	8850	4752	11049	2914	5230	5708	5050
ENSG00000011007	1124	778	940	927	1134	1105	772	845	749	898
ENSG00000011009	364	174	334	287	364	527	395	344	331	299
ENSG00000011021	176	96	129	199	194	237	261	324	178	254
ENSG00000011028	14	7	14	5	26	16	30	30	14	11
ENSG00000011105	3	1	0	0	8	3	15	36	10	0
ENSG00000011114	442	584	539	420	406	649	821	498	471	426
ENSG00000011132	215	155	250	241	645	175	437	547	235	296
ENSG00000011143	24	15	19	13	72	64	59	97	35	35
ENSG00000011198	333	303	554	405	421	400	201	311	385	282
ENSG00000011201	33	56	14	48	25	45	19	32	163	20
ENSG00000011243	971	684	843	1030	1342	1021	791	965	858	1115
ENSG00000011258	184	255	255	144	308	153	183	255	207	275
ENSG00000011260	284	141	230	248	164	301	156	188	315	191
ENSG00000011275	747	599	795	781	1151	1717	878	794	740	1373
ENSG00000011295	529	606	410	378	593	493	396	527	490	576
ENSG00000011304	6894	3352	4773	5652	5446	6441	3645	5538	5857	5941
ENSG00000011332	3	0	1	1	1	8	0	1	0	2
ENSG00000011347	5	7	0	0	0	1	5	6	2	0
ENSG00000011376	174	123	118	89	169	126	173	148	115	175
ENSG00000011405	1220	488	400	356	431	644	232	400	463	321
ENSG00000011422	1243	694	1535	2435	995	2045	1024	801	2322	1131
ENSG00000011426	48	27	17	19	56	13	21	64	25	51
ENSG00000011451	291	136	232	377	306	264	257	300	212	205
ENSG00000011454	177	338	283	191	558	542	373	489	300	562
ENSG00000011465	33	58	37	22	45	32	39	39	34	33
ENSG00000011478	205	113	186	191	391	261	176	252	187	180
ENSG00000011485	334	254	294	204	432	358	397	458	363	425
ENSG00000011523	97	96	131	178	333	210	235	316	107	203
ENSG00000011566	77	448	31	106	139	49	147	144	36	39
ENSG00000011590	123	222	143	121	341	222	295	328	145	343
ENSG00000011600	280	91	455	658	301	365	135	193	343	275
ENSG00000011638	149	103	135	175	155	213	106	201	188	172
ENSG00000012048	11	22	54	86	41	39	32	43	6	77
ENSG00000012061	250	242	290	358	706	419	790	505	463	683
ENSG00000012124	12	9	9	47	13	24	12	6	10	9
ENSG00000012171	16	1	8	21	3	7	8	18	4	2
ENSG00000012174	45	86	69	63	93	89	80	132	36	68
ENSG00000012211	11	17	32	81	65	32	49	65	52	52
ENSG00000012223	47	12	0	0	19	7	16	9	2	4
ENSG00000012232	121	106	283	225	154	404	226	188	244	164
ENSG00000012660	6100	4226	3945	3466	5953	5872	3334	4687	3421	3923
ENSG00000012779	266	95	428	634	225	625	173	125	406	327
ENSG00000012817	1093	1151	0	791	1563	1323	1793	17	10	10
ENSG00000012822	411	276	332	499	548	644	581	536	849	529
ENSG00000012963	986	563	418	384	526	710	348	520	463	606
ENSG00000012983	320	393	423	378	377	489	276	354	438	370
ENSG00000013016	46	36	26	33	60	53	49	77	32	67
ENSG00000013275	1587	664	968	1243	1591	1241	1039	1308	927	1137
ENSG00000013288	1185	676	731	977	1486	1202	1004	1367	1081	1117
ENSG00000013293	6	10	14	10	10	11	9	12	0	7
ENSG00000013297	2	0	2	0	1	0	0	4	10	0
ENSG00000013306	413	313	381	532	551	736	584	704	522	596
ENSG00000013364	670	356	625	764	1220	822	746	1276	608	915
ENSG00000013374	708	647	811	768	836	847	738	627	662	944
ENSG00000013375	74	235	89	482	239	254	403	210	116	373
ENSG00000013392	16	20	16	14	32	22	29	28	35	26
ENSG00000013441	5335	6151	3983	3640	3929	4859	3904	5848	3621	4760
ENSG00000013503	46	65	56	65	44	67	66	80	39	56
ENSG00000013523	273	257	290	214	203	308	517	433	342	482
ENSG00000013561	133	140	155	246	326	161	218	289	132	255
ENSG00000013563	251	128	126	193	324	234	302	205	141	358
ENSG00000013573	243	131	89	329	334	281	430	304	153	254
ENSG00000013583	46	38	40	73	54	77	43	69	73	62
ENSG00000013588	199	127	31	51	175	89	631	495	135	134
ENSG00000013619	730	167	230	185	203	209	130	192	215	121
ENSG00000013725	4361	2722	4125	4442	5616	6278	4380	5290	5167	5229
ENSG00000013810	838	611	341	578	1402	877	671	1200	590	1714
ENSG00000014123	333	203	211	180	392	306	310	279	144	289
ENSG00000014138	101	116	116	154	138	179	217	239	96	180
ENSG00000014164	274	90	163	181	218	243	202	340	124	140
ENSG00000014216	582	229	536	302	578	868	677	676	566	649
ENSG00000014257	31	23	27	55	13	13	9	14	36	5
ENSG00000014641	734	894	749	945	1133	900	765	1006	659	1003
